portfolio	website	year	summary		
MXD 3D	http://mixeddimensions.com/	Sep-13	Developing a Cross-Platform Modeling Tool for 3D Printing.		
NextInput	http://www.nextinput.com/	Sep-13	3D Touch Technology for Next-Generation User Interfaces.		
Omnistream	http://omnistream.co	Sep-13	Mobile CRM for Luxury Retailers in China.		
Skurun	http://skurun.com/	Sep-13	Monetize Retail Surfaces.  Ad Exchange Connecting Advertisers with Retail Surfaces.  Leverages Mobile and Realtime Bidding.		
Synata	http://synata.com	Sep-13	World’s First Enterprise Cloud Search Engine.		
Group Tie		May-13	Creating Group Relationship Management (GRM) to Help Enterprises Manage Large External Networks of People.		
HealthCrowd	http://www.healthcrowd.com/	May-13	Mobile Salesforce.com for Healthcare.		
MindHelix		May-13	GPS-Based Mobile Security Application Helping Individuals Institutions and Governments Prevent Crime and Ensure Persistent Safety.		
PlayVox	http://www.playvox.com/	May-13	Gamification Platform for Call Centers. Learning Coaching and Performance Platform Designed to Manage and Motivate People at Call Centers.		
Relink	http://relink.no/	May-13	Mobile Contact Management Solution		
Seva Coffee	http://www.sevacoffee.com/	May-13	Personalized Coffee – Hardware and Cloud Software Solution to Disrupt the Global $100B/yr Coffee Market and Create a New Consumer Coffee Drinking Experience Where Every Cup of Coffee is Personalized to Every Consumer. The Best Cup of Coffee Created by You to Your Taste.		
Wise.io	http://about.wise.io/	May-13	Machine Intelligence Solutions for Big Data Enterprise.		
Chronon Systems	http://chrononsystems.com/	Mar-13	Flight Data Recorder Technology that Captures the Entire Execution of JVM and Replaces the Need for Traditional Log Files.		
Eduora		Mar-13	Learning Management System Focused First on the End-User: Unifying Disparate Campus Applications in One Interface Building Enterprise-Class University Products that Users Love.		
MightyHive	http://mightyhive.com/	Mar-13	Consumer Marketing Automation – Automates Optimizes and Measures Advertising Cross-Channel Using Data that is Only Available to an Enterprise Class Application.		
Purple	https://i.likepurple.com/	Mar-13	Mobile Customer Engagement Platform that Enables Businesses to Acquire and Engage Customers by Leveraging Apple’s Passbook and Other Upcoming Mobile Wallets.		
Sourcery	https://getsourcery.com/	Mar-13	Simplifying Sourcing and Ordering for Food Businesses. We Are Replacing Legacy Enterprise Software Systems with User-Friendly Cloud-Based and Mobile Applications Bringing the Food Industry into the 21st Century.		
Stratio	http://www.stratiotechnology.com/	Mar-13	First Portable Infrared Sensors at >1000x Lower Cost >6 Orders of Magnitude Lower Power and >4x Higher Resolution than Current Technology Enabling Personal Health Monitoring in Smartphones.		
Tylr	http://www.tylrmobile.com/	Mar-13	Enterprise-Ready Mobile Work Platform Connecting Familiar Tools Like Email With Relevant Data and Processes in Your Business.		
Zipongo	http://www.zipongo.com/	Mar-13	Payors Subscribe Members for Personalized Meal Plans Savings on Healthy Groceries and Rewards for Buying ‘GO’ Foods.		
ActiveScaler	http://activescaler.com/	Jan-13	Provides A Real-Time Secure and Scalable Connected Car Platform & API for Developers to Build Amazing Applications.		
Cambrian Genomics	http://cambriangenomics.com/	Jan-13	DNA Laser Printer for Genome (Life) Synthesis.		
Connect Bright		Jan-13	Advocacy Empowerment Platform for B2B Service Providers.		
Jy Mob	http://jymob.com/	Jan-13	Platform to Choose the Best People for Your Jobs.		
MobileSpan	http://www.mobilespan.com/	Jan-13	Drop-In BYO Platform for Enterprises.		
Selligy		Jan-13	Mobile Service Helping Salespeople with their Primary Activity – Sales Meetings.		
Send Task	http://getsendtask.com/	Jan-13	Next Gen Enterprise Task Management.		
Social Pandas	http://www.socialpandas.com/	Jan-13	Social Selling Platform – Find & Close Sales Deals Faster via Social Networks.		
Xockets	http://xockets.com/	Jan-13	Licenses Software and Hardware Designs Producing Scalable Faster and Future-Proof Data Centers for Machine Learning and Analytics.		
